Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
-19.960745604340346	4171.875
-19.8967415389247	4687.5
-19.832737473509052	4625.0
-19.768733408093404	4171.875
-19.70472934267776	4171.875
-19.64072527726211	4515.625
-19.57672121184646	4250.0
-19.512717146430816	4703.125
-19.44871308101517	4062.5
-19.384709015599523	4281.25
-19.320704950183874	4515.625
-19.25670088476823	4203.125
-19.19269681935258	4453.125
-19.12869275393693	4515.625
-19.064688688521287	4125.0
-19.000684623105638	4812.5
-18.93668055768999	4156.25
-18.872676492274344	4484.375
-18.808672426858696	4343.75
-18.74466836144305	4421.875
-18.680664296027402	4078.125
-18.616660230611757	4203.125
-18.552656165196108	4031.25
-18.48865209978046	4281.25
-18.424648034364814	4437.5
-18.360643968949166	4015.625
-18.296639903533517	4406.25
-18.232635838117872	4625.0
-18.168631772702224	4437.5
-18.104627707286575	4109.375
-18.04062364187093	4359.375
-17.976619576455285	4109.375
-17.912615511039636	4125.0
-17.848611445623987	3968.75
-17.784607380208342	4250.0
-17.720603314792694	4578.125
-17.656599249377045	4109.375
-17.5925951839614	4421.875
-17.52859111854575	4265.625
-17.464587053130103	4406.25
-17.400582987714458	4359.375
-17.336578922298813	4437.5
-17.27257485688316	4406.25
-17.208570791467515	4328.125
-17.14456672605187	4125.0
-17.08056266063622	4625.0
-17.016558595220573	4000.0
-16.952554529804928	4453.125
-16.88855046438928	3875.0
-16.82454639897363	3843.75
-16.760542333557986	4359.375
-16.696538268142337	4328.125
-16.63253420272669	3625.0
-16.568530137311043	3968.75
-16.5045260718954	4343.75
-16.44052200647975	3937.5
-16.3765179410641	4250.0
-16.312513875648456	4843.75
-16.248509810232807	4406.25
-16.18450574481716	4453.125
-16.120501679401514	4421.875
-16.056497613985865	4171.875
-15.992493548570218	4453.125
-15.928489483154571	4078.125
-15.864485417738925	4593.75
-15.800481352323276	3796.875
-15.736477286907629	4015.625
-15.672473221491982	4625.0
-15.608469156076335	3796.875
-15.544465090660687	4156.25
-15.48046102524504	4140.625
-15.416456959829393	4078.125
-15.352452894413746	4515.625
-15.2884488289981	4109.375
-15.22444476358245	4015.625
-15.160440698166804	4187.5
-15.096436632751157	4437.5
-15.03243256733551	4562.5
-14.968428501919863	4718.75
-14.904424436504215	4046.875
-14.840420371088568	4640.625
-14.776416305672921	4218.75
-14.712412240257274	4250.0
-14.648408174841625	3968.75
-14.584404109425979	3953.125
-14.520400044010332	4062.5
-14.456395978594685	4375.0
-14.392391913179038	4609.375
-14.32838784776339	4359.375
-14.264383782347743	4015.625
-14.200379716932096	4781.25
-14.136375651516449	3765.625
-14.0723715861008	4421.875
-14.008367520685153	4468.75
-13.944363455269507	3750.0
-13.88035938985386	4109.375
-13.816355324438213	4015.625
-13.752351259022564	3890.625
-13.688347193606917	4296.875
-13.62434312819127	3812.5
-13.560339062775624	4046.875
-13.496334997359975	4046.875
-13.432330931944328	4265.625
-13.368326866528681	3890.625
-13.304322801113035	4750.0
-13.240318735697388	4375.0
-13.176314670281739	4312.5
-13.112310604866092	4234.375
-13.048306539450445	4703.125
-12.984302474034799	4343.75
-12.92029840861915	4734.375
-12.856294343203503	4203.125
-12.792290277787856	4328.125
-12.72828621237221	4500.0
-12.664282146956563	4218.75
