Tstart (s),Counts/s,Cumulative Sum
-19.8967415389247,4687.5,4687.5
-19.832737473509052,4625.0,9312.5
-19.768733408093404,4171.875,13484.375
-19.70472934267776,4171.875,17656.25
-19.64072527726211,4515.625,22171.875
-19.57672121184646,4250.0,26421.875
-19.512717146430816,4703.125,31125.0
-19.44871308101517,4062.5,35187.5
-19.384709015599523,4281.25,39468.75
-19.320704950183874,4515.625,43984.375
-19.25670088476823,4203.125,48187.5
-19.19269681935258,4453.125,52640.625
-19.12869275393693,4515.625,57156.25
-19.064688688521287,4125.0,61281.25
-19.000684623105638,4812.5,66093.75
-18.93668055768999,4156.25,70250.0
-18.872676492274344,4484.375,74734.375
-18.808672426858696,4343.75,79078.125
-18.74466836144305,4421.875,83500.0
-18.680664296027402,4078.125,87578.125
-18.616660230611757,4203.125,91781.25
-18.552656165196108,4031.25,95812.5
-18.48865209978046,4281.25,100093.75
-18.424648034364814,4437.5,104531.25
-18.360643968949166,4015.625,108546.875
-18.296639903533517,4406.25,112953.125
-18.232635838117872,4625.0,117578.125
-18.168631772702224,4437.5,122015.625
-18.104627707286575,4109.375,126125.0
-18.04062364187093,4359.375,130484.375
-17.976619576455285,4109.375,134593.75
-17.912615511039636,4125.0,138718.75
-17.848611445623987,3968.75,142687.5
-17.784607380208342,4250.0,146937.5
-17.720603314792694,4578.125,151515.625
-17.656599249377045,4109.375,155625.0
-17.5925951839614,4421.875,160046.875
-17.52859111854575,4265.625,164312.5
-17.464587053130103,4406.25,168718.75
-17.400582987714458,4359.375,173078.125
-17.336578922298813,4437.5,177515.625
-17.27257485688316,4406.25,181921.875
-17.208570791467515,4328.125,186250.0
-17.14456672605187,4125.0,190375.0
-17.08056266063622,4625.0,195000.0
-17.016558595220573,4000.0,199000.0
-16.952554529804928,4453.125,203453.125
-16.88855046438928,3875.0,207328.125
-16.82454639897363,3843.75,211171.875
-16.760542333557986,4359.375,215531.25
-16.696538268142337,4328.125,219859.375
-16.63253420272669,3625.0,223484.375
-16.568530137311043,3968.75,227453.125
-16.5045260718954,4343.75,231796.875
-16.44052200647975,3937.5,235734.375
-16.3765179410641,4250.0,239984.375
-16.312513875648456,4843.75,244828.125
-16.248509810232807,4406.25,249234.375
-16.18450574481716,4453.125,253687.5
-16.120501679401514,4421.875,258109.375
-16.056497613985865,4171.875,262281.25
-15.992493548570218,4453.125,266734.375
-15.928489483154571,4078.125,270812.5
-15.864485417738925,4593.75,275406.25
-15.800481352323276,3796.875,279203.125
-15.736477286907629,4015.625,283218.75
-15.672473221491982,4625.0,287843.75
-15.608469156076335,3796.875,291640.625
-15.544465090660687,4156.25,295796.875
-15.48046102524504,4140.625,299937.5
-15.416456959829393,4078.125,304015.625
-15.352452894413746,4515.625,308531.25
-15.2884488289981,4109.375,312640.625
-15.22444476358245,4015.625,316656.25
-15.160440698166804,4187.5,320843.75
-15.096436632751157,4437.5,325281.25
-15.03243256733551,4562.5,329843.75
-14.968428501919863,4718.75,334562.5
-14.904424436504215,4046.875,338609.375
-14.840420371088568,4640.625,343250.0
-14.776416305672921,4218.75,347468.75
-14.712412240257274,4250.0,351718.75
-14.648408174841625,3968.75,355687.5
-14.584404109425979,3953.125,359640.625
-14.520400044010332,4062.5,363703.125
-14.456395978594685,4375.0,368078.125
-14.392391913179038,4609.375,372687.5
-14.32838784776339,4359.375,377046.875
-14.264383782347743,4015.625,381062.5
-14.200379716932096,4781.25,385843.75
-14.136375651516449,3765.625,389609.375
-14.0723715861008,4421.875,394031.25
-14.008367520685153,4468.75,398500.0
-13.944363455269507,3750.0,402250.0
-13.88035938985386,4109.375,406359.375
-13.816355324438213,4015.625,410375.0
